Customer_Name,Recency,Frequency,Monetary,Cluster
Felix Patel,205,1,120.16,0
Felix Pereira,195,1,22.64,0
Felix Robinson,83,1,445.31,0
Felix Rodriguez,1091,1,28.56,1
Felix Romano,411,2,116.72,2
Felix Santos,1020,1,825.97,1
Felix Schmidt,494,1,119.17,0
Felix Singh,36,1,45.56,0
Felix Smith,83,4,605.4499999999999,2
Felix Taylor,715,1,21.31,1
Felix Thomas,1092,1,1058.14,1
Felix Thompson,1045,1,2835.36,3
Felix White,510,2,467.46,2
Felix Yamamoto,1059,1,346.74,1
Giulia Ali,1037,1,270.58,1
Giulia Anderson,674,2,38.52,2
Giulia Brown,431,2,127.95,2
Giulia Dubois,907,1,6.62,1
Giulia Garcia,86,1,8.33,0
Giulia Harris,62,1,391.54,0
Giulia Johansson,370,1,1667.44,3
Giulia Johnson,746,2,623.79,2
Giulia Khan,820,1,25.92,1
Giulia Leroy,1059,1,8.96,1
Giulia Li,432,1,104.5,0
Giulia Miller,251,2,662.12,2
Giulia Müller,199,1,47.48,0
Giulia Nilsson,653,1,149.59,1
Giulia Oliveira,76,1,53.72,0
Giulia Pereira,873,1,18.19,1
Giulia Rodriguez,340,1,253.6,0
Giulia Rossi,775,1,590.48,1
Giulia Russo,169,1,36.18,0
Giulia Singh,292,1,17.18,0
Giulia Smith,269,1,77.03,0
Giulia Taylor,292,2,274.26,2
Giulia White,276,1,225.85,0
Giulia Williams,752,1,110.59,1
Giulia Yamamoto,449,1,73.69,0
Hanna Ahmed,1054,1,480.78,1
Hanna Ali,517,1,49.44,0
Hanna Brown,655,1,17.14,1
Hanna Davis,948,1,66.32,1
Hanna Dubois,736,1,237.44,1
Hanna Ferrari,58,1,41.28,0
Hanna Fischer,178,1,51.02,0
Hanna Hassan,59,1,596.92,0
Hanna Johnson,791,1,1449.74,3
Hanna Jones,1015,1,3813.98,3
Hanna Khan,839,1,50.8,1
Hanna Kim,582,1,14.73,1
Hanna Kumar,816,1,62.53,1
Hanna Leroy,2,2,66.58,2
Hanna Li,258,1,61.73,0
Hanna Martinez,16,1,22.64,0
Hanna Müller,656,1,561.48,1
Hanna Nilsson,228,1,19.62,0
Hanna Park,162,1,235.68,0
Hanna Robinson,593,1,127.58,1
Hanna Rodriguez,245,1,232.77,0
Hanna Rossi,874,1,34.92,1
Hanna Santos,843,1,134.94,1
Hanna Sato,127,3,353.04,2
Hanna Sharma,418,1,1236.1,3
Hanna Taylor,723,1,577.59,1
Hanna Thomas,433,1,164.85,0
Hanna Weber,342,2,860.85,2
Hanna White,541,1,143.57,0
Hanna Williams,302,1,241.47,0
Hanna Yamamoto,821,1,1378.26,3
Hans Ali,281,1,72.35,0
Hans Anderson,493,2,174.69,2
Hans Chen,1061,1,179.48,1
Hans Costa,242,2,435.78,2
Hans Ferrari,191,1,16.31,0
Hans Fischer,539,2,468.86,2
Hans Harris,645,1,505.77,1
Hans Hassan,514,1,92.21,0
Hans Johnson,509,3,393.17999999999995,2
Hans Khan,230,1,86.45,0
Hans Kim,1056,1,138.69,1
Hans Kumar,256,2,107.59,2
Hans Laurent,99,2,114.77000000000001,2
Hans Martin,759,1,111.88,1
Hans Martinez,693,1,2264.35,3
Hans Miller,413,2,682.79,2
Hans Müller,297,2,438.15999999999997,2
Hans Oliveira,128,1,14.83,0
Hans Park,488,1,125.56,0
Hans Patel,280,2,743.06,2
Hans Robinson,752,1,79.09,1
Hans Rossi,66,2,470.72,2
Hans Santos,1009,1,53.53,1
Hans Sato,59,1,932.25,0
Hans Schmidt,551,1,112.4,1
Hans Sharma,260,1,454.06,0
Hans Singh,901,1,582.95,1
Hans Smith,848,1,22.68,1
Hans Wang,56,1,6.66,0
Hans White,522,1,50.0,0
Hans Yamamoto,938,1,147.71,1
Hans Zhang,264,1,26.73,0
Ingrid Clark,226,2,38.129999999999995,2
Ingrid Davis,233,2,109.72,2
Ingrid Jackson,69,1,749.59,0
Ingrid Khan,911,1,54.23,1
Ingrid Laurent,489,1,109.65,0
Ingrid Li,15,1,52.93,0
Ingrid Martin,493,1,19.03,0
Ingrid Martinez,435,1,446.69,0
Ingrid Moreau,816,1,36.63,1
Ingrid Müller,595,1,42.23,1
Ingrid Nilsson,137,1,378.65,0
Ingrid Pereira,168,1,1044.2,0
Ingrid Robinson,250,1,172.2,0
Ingrid Romano,224,1,835.43,0
Ingrid Santos,376,1,6.13,0
Ingrid Sato,422,1,84.5,0
Ingrid Schmidt,1040,1,493.8,1
Ingrid Suzuki,13,1,88.6,0
Ingrid Wang,96,1,83.98,0
Ingrid Weber,841,1,456.7,1
Ingrid White,474,1,12.55,0
Ingrid Williams,302,1,655.88,0
Ingrid Yamamoto,391,1,12.35,0
Ingrid Zhang,10,2,801.0899999999999,2
Isabella Ahmed,932,1,86.2,1
Isabella Anderson,737,1,40.18,1
Isabella Davis,334,1,150.02,0
Isabella Ferrari,473,1,133.15,0
Isabella Harris,767,1,122.35,1
Isabella Jackson,315,2,165.98999999999998,2
Isabella Johansson,472,2,256.55,2
Isabella Johnson,743,1,340.88,1
Isabella Jones,463,1,156.7,0
Isabella Khan,107,1,660.62,0
Isabella Kumar,919,1,19.19,1
Isabella Laurent,620,1,3.42,1
Isabella Li,813,1,72.24,1
Isabella Martin,1022,1,29.18,1
Isabella Nilsson,238,1,950.76,0
Isabella Patel,828,1,177.12,1
Isabella Rossi,760,1,1168.55,3
Isabella Russo,203,1,159.47,0
Isabella Sato,61,1,557.88,0
Isabella Schmidt,441,1,24.72,0
Isabella Smith,107,1,34.14,0
Isabella Tanaka,340,1,14.69,0
Isabella Taylor,855,1,17.66,1
Isabella Thomas,7,1,396.63,0
Isabella Thompson,274,1,160.72,0
Isabella White,97,3,1121.62,2
Isabella Yamamoto,638,1,18.2,1
Ivan Ahmed,541,1,156.11,0
Ivan Ali,381,1,155.08,0
Ivan Anderson,975,1,36.42,1
Ivan Costa,124,1,378.73,0
Ivan Davis,83,2,398.26,2
Ivan Dubois,718,1,154.2,1
Ivan Jones,364,2,2647.41,3
Ivan Laurent,157,1,130.52,0
Ivan Leroy,293,1,48.23,0
Ivan Li,724,2,1359.3600000000001,3
Ivan Martin,403,1,13.3,0
Ivan Martinez,509,1,478.14,0
Ivan Moreau,388,1,687.44,0
Ivan Müller,483,1,24.6,0
Ivan Nilsson,134,1,115.23,0
Ivan Park,387,1,13.38,0
Ivan Patel,201,2,168.16,2
Ivan Pereira,861,1,488.64,1
Ivan Robinson,410,1,358.18,0
Ivan Romano,439,1,13.0,0
Ivan Santos,197,1,2069.76,3
Ivan Sato,59,1,506.33,0
Ivan Sharma,229,1,35.97,0
Ivan Smith,713,1,91.96,1
Ivan Thomas,478,1,136.8,0
Ivan Williams,454,1,540.31,0
Ivan Zhang,641,2,184.31,2
Jamal Ahmed,877,1,159.98,1
Jamal Brown,73,1,242.76,0
Jamal Chen,371,1,94.52,0
Jamal Clark,848,2,205.41,1
Jamal Ferrari,1002,1,21.5,1
Jamal Harris,903,1,68.34,1
Jamal Hassan,231,1,2327.47,3
Jamal Jones,712,2,85.99000000000001,2
Jamal Khan,612,1,73.88,1
Jamal Kim,357,1,26.62,0
Jamal Leroy,862,1,20.48,1
Jamal Martinez,1034,1,730.94,1
Jamal Nilsson,495,1,65.28,0
Jamal Park,42,1,47.71,0
Jamal Patel,728,1,32.62,1
Jamal Pereira,231,2,196.95999999999998,2
Jamal Robinson,190,3,736.58,2
Jamal Rossi,62,2,334.7,2
Jamal Schmidt,973,2,589.46,1
Jamal Sharma,501,1,219.01,0
Jamal Singh,308,1,351.88,0
Jamal Taylor,164,2,291.54,2
Jamal Wang,389,1,23.28,0
Jamal Williams,585,1,38.44,1
Jamal Zhang,1047,1,101.46,1
James Ahmed,320,2,505.49,2
James Ali,399,1,6.25,0
James Anderson,1006,1,79.15,1
James Brown,587,1,26.97,1
James Chen,1030,1,143.71,1
James Clark,834,1,200.12,1
James Ferrari,467,2,2424.87,3
James Harris,425,2,417.14,2
James Johansson,360,2,483.89000000000004,2
James Khan,30,1,34.32,0
James Kumar,712,1,135.09,1
James Li,731,1,407.25,1
James Miller,265,1,258.03,0
James Oliveira,406,1,31.2,0
James Patel,330,1,281.28,0
James Rossi,54,1,346.32,0
James Santos,92,1,159.96,0
James Schmidt,879,1,202.05,1
James Sharma,1003,1,27.5,1
James Suzuki,934,1,221.75,1
James Tanaka,919,1,473.15,1
James Taylor,894,1,15.61,1
James Wang,659,1,298.56,1
James White,585,1,1233.43,3
James Williams,77,2,1194.1,2
Jennifer Ali,690,1,1300.1,3
Jennifer Anderson,505,1,35.72,0
Jennifer Brown,70,1,11.45,0
Jennifer Clark,23,2,739.0200000000001,2
Jennifer Costa,961,1,486.27,1
Jennifer Dubois,79,1,32.7,0
Jennifer Ferrari,188,2,265.12,2
Jennifer Garcia,869,2,320.63,1
Jennifer Harris,245,2,272.51,2
Jennifer Khan,719,1,19.48,1
Jennifer Kim,784,1,160.41,1
Jennifer Leroy,264,1,198.4,0
Jennifer Martinez,690,1,41.84,1
Jennifer Moreau,1044,1,64.12,1
Jennifer Nilsson,940,1,27.58,1
Jennifer Oliveira,2,1,160.11,0
Jennifer Pereira,115,1,385.52,0
Jennifer Robinson,125,1,544.32,0
Jennifer Romano,402,2,484.2,2
Jennifer Russo,1080,1,65.82,1
Jennifer Santos,758,1,210.57,1
Jennifer Tanaka,678,1,154.68,1
Jennifer Thomas,302,1,158.63,0
Jennifer Thompson,208,1,2.58,0
Jennifer White,158,1,132.41,0
Jennifer Yamamoto,460,1,123.94,0
Jennifer Zhang,386,1,29.27,0
Jessica Anderson,363,2,408.65000000000003,2
Jessica Brown,242,1,30.04,0
Jessica Costa,638,1,811.51,1
Jessica Garcia,84,2,118.78,2
Jessica Hassan,41,2,99.0,2
Jessica Johnson,158,1,56.89,0
Jessica Kim,726,1,87.15,1
Jessica Martin,613,1,118.18,1
Jessica Moreau,321,2,694.97,2
Jessica Müller,402,2,781.96,2
Jessica Nilsson,382,1,91.37,0
Jessica Park,298,2,87.63000000000001,2
Jessica Patel,644,1,461.36,1
Jessica Pereira,34,1,63.78,0
Jessica Russo,593,1,909.72,1
Jessica Sato,991,1,52.25,1
Jessica Schmidt,316,1,145.1,0
Jessica Suzuki,506,1,530.21,0
Jessica Tanaka,830,1,145.22,1
Jessica Taylor,444,1,139.66,0
Jessica Thomas,48,1,12.86,0
Jessica Wang,830,2,227.86,1
Jessica Weber,806,1,115.26,1
Jessica Williams,483,1,28.81,0
Jessica Yamamoto,600,1,81.57,1
John Brown,871,1,84.83,1
John Ferrari,536,2,397.95,2
John Johansson,1095,1,313.38,1
John Laurent,593,2,640.3299999999999,2
John Martin,281,1,99.56,0
John Miller,737,1,65.99,1
John Patel,826,1,99.56,1
John Pereira,244,1,924.42,0
John Robinson,670,2,123.86,2
John Rodriguez,296,1,53.56,0
John Suzuki,170,2,237.86,2
John Wang,449,1,39.26,0
John Zhang,691,1,205.44,1
Joseph Ali,410,1,14.19,0
Joseph Chen,30,2,754.8199999999999,2
Joseph Clark,183,1,62.93,0
Joseph Fischer,28,1,82.38,0
Joseph Garcia,264,1,35.46,0
Joseph Johansson,576,1,465.3,1
Joseph Johnson,887,1,18.96,1
Joseph Leroy,820,1,44.26,1
Joseph Martin,38,1,20.92,0
Joseph Martinez,579,3,486.89,2
Joseph Romano,477,2,99.35,2
Joseph Russo,568,1,223.29,1
Joseph Schmidt,238,1,53.98,0
Joseph Singh,549,1,22.69,1
Joseph Suzuki,766,1,41.11,1
Joseph Thompson,240,1,74.03,0
Joseph Wang,104,1,189.69,0
Joseph Weber,103,2,2287.2799999999997,3
Joseph Zhang,45,1,81.36,0
Karen Ali,461,1,104.0,0
Karen Anderson,539,3,441.71999999999997,2
Karen Ferrari,595,1,42.31,1
Karen Garcia,22,1,65.29,0
Karen Hassan,245,2,244.53,2
Karen Jackson,1020,1,24.52,1
Karen Khan,773,1,30.1,1
Karen Martinez,1062,1,4.3,1
Karen Moreau,982,1,43.85,1
Karen Nilsson,621,1,398.95,1
Karen Patel,149,1,14.45,0
Karen Robinson,800,1,581.9,1
Karen Romano,50,2,213.0,2
Karen Rossi,491,2,426.05,2
Karen Russo,870,1,246.69,1
Karen Santos,344,1,1236.75,3
Karen Sato,619,2,2738.18,3
Karen Smith,568,2,625.3100000000001,2
Karen Suzuki,106,3,972.28,2
Karen Tanaka,637,1,68.36,1
Karen Thomas,890,1,52.78,1
Karen Wang,719,2,474.35,2
Karen Yamamoto,193,1,41.55,0
Karen Zhang,872,1,29.63,1
Kenji Anderson,602,1,993.9,1
Kenji Davis,669,1,592.7,1
Kenji Dubois,698,1,595.6,1
